facility,geography,residents_per_direct_care_nurse_best,residents_per_direct_care_nurse_worst,residents_per_aide_best,residents_per_aide_worst
Advanced Post Acute,Auburn,41,59,8,12
Alaska Gardens Health and Rehabilitation,Tacoma,39,104,9,12
Aldercrest Health and Rehab Center,Edmonds,13,21,8,12
Alderwood Manor,Spokane,13,21,8,13
Alderwood Park Health and Rehabilitation,Bellingham,26,49,9,13
Americana Health and Rehab Center,Longview,40,56,10,15
Arlington Health and Rehabilitation,Arlington,18,35,9,12
Avalon Care Center - Federal Way,Federal Way,21,27,10,13
Avalon Care Center - Othello,Othello,22,27,9,12
Avalon CAre Center - Pullman,Pullman,11,17,6,11
Avalon Care Center - NorthPointe,Spokane,16,26,7,11
Avalon Health and Rehabilitation Center - Pasco,Pasco,19,41,9,11
Avamere at Pacific Ridge,Tacoma,17,28,9,12
Avamere Bellingham Health Care and Rehab Services,Bellingham,15,26,10,12
Avamere Heritage Rehabilitation of Tacoma,Tacoma,15,23,10,13
Avamere Olympic Rehabilitation of Sequim,Sequim,14,22,9,13
Avamere Rehabilitation of Cascade Park,Vancouver,12,19,9,12
Avamere Transitional Care of Puget Sound,Tacoma,6,11,5,6
Bailey-Boushay House,Seattle,4,6,5,8
Bainbridge Island Health and Rehab Center,Bainbridge Island,16,26,10,14
Ballard Center,Seattle,12,23,8,12
Bayview Manor,Seattle,16,26,7,12
Beacon Hill Rehabilitation,Longview,18,24,9,12
Benson Heights Rehabilitation Center,Kent,21,29,11,14
Bethany at Pacific,Everett,17,23,8,11
Bethany at Silver Lake,Everett,17,26,8,11
Booker Rest Home Annex,Dayton,6,11,4,7
Bothell Health Care,Bothell,16,26,8,11
Bremerton Convalescent and Rehabilitation Center,Bremerton,16,26,11,15
Briarwood at Timber Ridge,Issaquah,16,25,8,10
Brookefield Health and Rehab of Cascadia,Battle Ground,12,21,10,12
Buena Vista Healthcare,Colville,26,39,8,12
Burien Nursing and Rehabilitation Center,Burien,18,27,9,12
Canterbury House,Auburn,35,87,10,13
Careage of Whidbey,Coupeville,20,71,8,12
Caroline Kline Galland Home,Seattle,15,19,6,8
Cashmere Care Center,Cashmere,19,33,12,17
Cheney Care Center,Cheney,16,27,6,8
Christian Health Care Center,Lynden,14,24,9,11
Colonial Vista Post-Acute and Rehab Center,Wenatchee,15,20,9,11
Columbia Basin Hospital,Ephirata,11,12,5,8
Columbia Crest Center,Moses Lake,17,27,10,13
Columbia Lutheran Home,Seattle,13,21,7,9
Corwin Center at Emerald Heights,Redmond,17,21,8,10
Cottesmore of Life Care,Gig Harbor,12,20,9,12
Convenant Shores Health Center,Mercer Island,15,22,6,10
Crescent Health Care Inc,Yakima,15,28,10,13
Crestwood Health and Rehabilitation Center,Port Angeles,13,30,10,18
Cristwood Health and Rehabilitation Center,Seattle,14,21,7,10
Delta Rehabilitation Center,Snohomish,16,30,8,12
