age_bracket,fraction_male,fraction_female
0_4,0.5099026832074123,0.4900973167925878
5_9,0.5088948332554093,0.49110516674459065
10_14,0.5107858843905607,0.4892141156094393
15_19,0.5085878590997379,0.4914121409002621
20_24,0.5099071927494805,0.49009280725051957
25_29,0.5172428122483962,0.48275718775160376
30_34,0.5162427863611868,0.4837572136388132
35_39,0.5191185731769626,0.48088142682303736
40_44,0.504929348179983,0.4950706518200169
45_49,0.5102437219627248,0.4897562780372751
50_54,0.5051538514968397,0.4948461485031604
55_59,0.5011465635851405,0.49885343641485946
60_64,0.48506827992361634,0.5149317200763837
65_69,0.4738430790785841,0.5261569209214159
70_74,0.4619759942672877,0.5380240057327123
75_100,0.40409019781651095,0.5959098021834891
