"Table 48. Providers and users of long-term care services in Washington, by sector and selected characteristics: 2015 - 2016",,,,,,,,,,,
Service provided (percentage),,,,,,,,,,,
Selected characteristic,Adult day services center,,Home health agency,,Hospice,,Nursing home,,Residential care community,,
Social work,*,*,†,†,100,…,90,"(85.3, 93.4)",58.6††,"(47.5, 68.8)",
Mental health or counseling,*50.0,"(30.9, 69.1)",---,---,†,†,87.3,"(82.3, 91.1)",58.9††,"(47.7, 69.3)",
"Therapeutic (physical, occupational, or speech)",*,*,†,†,100,…,100,…,79.3††,"(68.9, 86.9)",
Skilled nursing,*,*,100,…,100,…,100,…,80.8††,"(70.9, 87.9)",
Pharmacy or pharmacist,*,*,*9.5,"(4.3, 19.6)",---,---,97.3,"(94.1, 98.8)",82.6††,"(72.4, 89.6)",
Hospice,*,*,20.6,"(12.4, 32.4)",…,…,70.6,"(64.2, 76.2)",77.5††,"(67.1, 85.4)",
Dietary and nutritional,*58.4,"(38.3, 76.1)",---,---,---,---,100,…,82.0††,"(71.8, 89.0)",
Transportation services for medical or dental appointments,*57.9,"(37.8, 75.7)",---,---,---,---,---,---,78.7††,"(68.3, 86.4)",
Service users,,,,,,,,,,,
"Number of users2, 5","1,700","(1,300, 2,200)","61,400","(39,900, 83,000)","25,200","(12,900, 37,400)","16,800","(14,300, 19,200)","36,200","(29,500, 42,900)",
Age in years (percent distribution):,,,,,,,,,,,
Under 65,48.2,"(41.9, 54.5)",14.4,"(11.8, 17.0)",5,"(4.4, 5.6)",16.5,"(14.3, 18.6)",5.2,"(3.2, 7.2)",
65 and over,51.8,"(45.5, 58.1)",85.6,"(83.0, 88.2)",95,"(94.4, 95.6)",83.5,"(81.4, 85.7)",94.9,"(92.8, 96.9)",
65–74,21.1,"(18.9, 23.4)",24.4,"(23.3, 25.5)",17.1,"(16.0, 18.3)",20.4,"(19.4, 21.5)",8.5,"(6.6, 10.5)",
75–84,18.8,"(15.7, 21.9)",29.6,"(28.7, 30.4)",27.4,"(26.3, 28.5)",26.5,"(25.5, 27.5)",36.6,"(30.6, 42.7)",
85 and over,11.8,"(9.6, 14.1)",31.6,"(29.0, 34.2)",50.4,"(47.8, 53.0)",36.6,"(34.2, 39.0)",49.7,"(42.5, 56.8)",
Sex (percent distribution):,,,,,,,,,,,
Men,44,"(40.8, 47.1)",38.6,"(37.8, 39.4)",41.7,"(40.3, 43.1)",37.3,"(35.4, 39.2)",27,"(23.0, 31.1)",
Women,56,"(52.9, 59.2)",61.4,"(60.6, 62.2)",58.3,"(56.9, 59.7)",62.7,"(60.8, 64.6)",73,"(68.9, 77.0)",
Race and ethnicity (percent distribution):,,,,,,,,,,,
Hispanic,6.7,"(5.1, 8.3)",2.4,"(1.9, 3.0)",2.2,"(1.6, 2.7)",2.4,"(1.8, 3.0)",*1.0,"(0.3, 1.6)",
Non-Hispanic white,71.6,"(63.8, 79.4)",89.3,"(87.7, 90.9)",91.1,"(89.0, 93.2)",84.9,"(82.5, 87.3)",64.7,"(52.2, 77.1)",
Non-Hispanic black,11.6,"(6.7, 16.4)",2.6,"(1.9, 3.3)",1.8,"(1.0, 2.7)",4.1,"(3.1, 5.1)",*1.2,"(0.4, 2.1)",
Non-Hispanic other6,7.5,"(5.1, 9.8)",5.6,"(4.6, 6.7)",4.9,"(3.6, 6.1)",8.4,"(6.5, 10.4)",11.4,"(4.8, 17.9)",
Conditions (percentage):,,,,,,,,,,,
Diagnosed with Alzheimer disease or other dementias,36.9,"(28.8, 45.1)",36,"(33.7, 38.2)",39.4,"(34.9, 44.0)",41.9,"(39.5, 44.2)",54.5††,"(44.6, 64.4)",
Diagnosed with arthritis,42.3,"(31.2, 53.4)",49.5,"(48.0, 51.1)",20.4,"(17.8, 23.0)",27.2,"(25.2, 29.1)",52.2††,"(41.3, 63.1)",
Diagnosed with asthma,8.4,"(4.3, 12.4)",21.1,"(19.9, 22.2)",7,"(6.2, 7.8)",---,---,6.0††,"(3.7, 8.2)",
Diagnosed with chronic kidney disease,11.6,"(8.4, 14.8)",46.8,"(45.2, 48.4)",32.2,"(29.2, 35.2)",---,---,13.1††,"(8.1, 18.1)",
Diagnosed with COPD,19.5,"(15.3, 23.8)",27.1,"(25.1, 29.0)",16.6,"(14.6, 18.7)",---,---,14.8††,"(10.8, 18.8)",
Diagnosed with depression,43.6,"(36.4, 50.7)",39.7,"(38.7, 40.7)",19,"(17.1, 20.9)",45.1,"(43.5, 46.7)",35.3††,"(27.2, 43.5)",
Diagnosed with diabetes,24.4,"(18.8, 30.0)",37.2,"(35.5, 38.8)",20.9,"(18.9, 23)",31.1,"(29.7, 32.4)",15.1††,"(12.1, 18.2)",
Diagnosed with heart disease7,38,"(30.0, 46.0)",43.4,"(42.2, 44.6)",29.8,"(27.1, 32.5)",37.4,"(35.7, 39.1)",36.3††,"(30.6, 42.1)",
